"Package","Version"
"assertthat","0.2.1"
"backports","1.1.5"
"base64enc","0.1-3"
"BH","1.69.0-1"
"callr","3.3.2"
"cellranger","1.1.0"
"checkmate","1.9.4"
"classInt","0.4-2"
"cli","1.1.0"
"colorspace","1.4-1"
"crayon","1.3.4"
"data.table","1.12.6"
"DBI","1.0.0"
"desc","1.2.0"
"digest","0.6.22"
"docopt","0.6.1"
"dplyr","0.8.3"
"e1071","1.7-2"
"ellipsis","0.3.0"
"evaluate","0.14"
"fansi","0.4.0"
"ggplot2","3.2.1"
"glue","1.3.1"
"gridExtra","2.3"
"gtable","0.3.0"
"highr","0.8"
"hms","0.5.1"
"htmltools","0.4.0"
"inline","0.3.15"
"jsonlite","1.6"
"knitr","1.25"
"labeling","0.3"
"lazyeval","0.2.2"
"lifecycle","0.1.0"
"loo","2.1.0"
"magrittr","1.5"
"markdown","1.1"
"matrixStats","0.55.0"
"mime","0.7"
"munsell","0.5.0"
"pillar","1.4.2"
"pkgbuild","1.0.6"
"pkgconfig","2.0.3"
"plogr","0.2.0"
"plyr","1.8.4"
"praise","1.0.0"
"prettyunits","1.0.2"
"processx","3.4.1"
"progress","1.2.2"
"ps","1.3.0"
"purrr","0.3.3"
"R6","2.4.0"
"RColorBrewer","1.1-2"
"Rcpp","1.0.2"
"RcppEigen","0.3.3.5.0"
"readxl","1.3.1"
"rematch","1.0.1"
"reshape2","1.4.3"
"rlang","0.4.1"
"rmarkdown","1.16"
"rprojroot","1.3-2"
"rstan","2.19.2"
"scales","1.0.0"
"sf","0.8-0"
"StanHeaders","2.19.0"
"stringi","1.4.3"
"stringr","1.4.0"
"testthat","2.2.1"
"thesis.utils","0.0.1"
"tibble","2.1.3"
"tidyr","1.0.0"
"tidyselect","0.2.5"
"tinytex","0.16"
"units","0.6-5"
"utf8","1.1.4"
"vctrs","0.2.0"
"viridisLite","0.3.0"
"withr","2.1.2"
"xfun","0.10"
"yaml","2.2.0"
"zeallot","0.1.0"
"littler","0.3.8"
"base","3.6.1"
"boot","1.3-23"
"class","7.3-15"
"cluster","2.1.0"
"codetools","0.2-16"
"compiler","3.6.1"
"datasets","3.6.1"
"foreign","0.8-72"
"graphics","3.6.1"
"grDevices","3.6.1"
"grid","3.6.1"
"KernSmooth","2.23-15"
"lattice","0.20-38"
"MASS","7.3-51.4"
"Matrix","1.2-17"
"methods","3.6.1"
"mgcv","1.8-28"
"nlme","3.1-141"
"nnet","7.3-12"
"parallel","3.6.1"
"rpart","4.1-15"
"spatial","7.3-11"
"splines","3.6.1"
"stats","3.6.1"
"stats4","3.6.1"
"survival","2.44-1.1"
"tcltk","3.6.1"
"tools","3.6.1"
"utils","3.6.1"
